GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS541877580	2019-04-12 09:32:11	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Chicoana	AR-A-CH					Quebrada de Escoipe	L3921970	H	-25.1542350	-65.6868782	2017-09-29	14:15:00	obsr90354	S39940856	Traveling	P22	EBIRD	120	2.000		3	1		0	1	1			Ejemplar planeando alto sobre bosque montano. Notablemente más grande que G. melanoleucus que planeaba cercano; alas romas, cola ancha, vista ventral negra y rufa; parche más claro en primarias con borde oscuro. Foto en vuelo, tipo documento.	
URN:CornellLabOfOrnithology:EBIRD:OBS358539829	2021-08-04 22:42:56.160971	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	La Caldera	AR-A-LC					Camino de Cornisa	L2386845	P	-24.5095279	-65.3344917	2015-12-12	05:30:00	obsr229597	S26251038	Traveling	P22	EBIRD	180	2.000		2	1	G1498143	1	1	1			Un joven posado 200 m pasando El Ucumar. Fotografiado. Las fotografías fueron tomadas por Emiliano Depino y Nacho Areta.	
URN:CornellLabOfOrnithology:EBIRD:OBS359098066	2021-08-04 22:42:56.160971	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	La Caldera	AR-A-LC					Camino de Cornisa	L2386845	P	-24.5095279	-65.3344917	2015-12-12	05:30:00	obsr240862	S26303745	Traveling	P22	EBIRD	180	2.000		2	1	G1498143	1	1	1			Un joven posado 200 m pasando El Ucumar. Fotografiado. Las fotografías fueron tomadas por Emiliano Depino y Nacho Areta.	
URN:CornellLabOfOrnithology:EBIRD:OBS669993621	2019-04-12 09:21:47	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			2					Argentina	AR	Salta	AR-A	La Caldera	AR-A-LC					Abra de Santa Laura (lado salteño)	L7317189	H	-24.4979762	-65.3060389	2018-10-24	15:50:00	obsr197748	S49427393	Stationary	P21	EBIRD_CAN	30			3	1	G3539092	0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS754665046	2021-08-04 22:43:23.931048	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	La Caldera	AR-A-LC					Dique Campo Alegre	L844614	H	-24.5726858	-65.3706798	2019-05-08	11:15:00	obsr170362	S56018537	Traveling	P22	EBIRD	41	1.931		1	1		0	1	1			Large raptor dark with chestnut underwings; tailwith single white band. Seen in raid towards Salta. 	
URN:CornellLabOfOrnithology:EBIRD:OBS831986944	2019-12-30 12:30:34	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	La Caldera	AR-A-LC					La Cornisa	L10200144	P	-24.5080411	-65.3201281	2019-11-25	08:10:00	obsr1169563	S61760166	Incidental	P20	EBIRD				1	0	G4802954	0	1	1		Registro incidental en un traslado entre Salta y Jujuy	Un ejemplar adulto, presumiblemente hembra, posado y luego volando sobre el bosque a la altura del camino, antes del Abra de Santa Laura.	
URN:CornellLabOfOrnithology:EBIRD:OBS844007126	2019-12-30 12:30:34	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	La Caldera	AR-A-LC					La Cornisa	L10200144	P	-24.5080411	-65.3201281	2019-11-25	08:10:00	obsr521859	S62775718	Incidental	P20	EBIRD				1	0	G4802954	0	1	1		Registro incidental en un traslado entre Salta y Jujuy	Un ejemplar adulto, presumiblemente hembra, posado y luego volando sobre el bosque a la altura del camino, antes del Abra de Santa Laura.	
URN:CornellLabOfOrnithology:EBIRD:OBS537004918	2021-08-04 22:37:24.623905	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			X					Argentina	AR	Salta	AR-A	Orán	AR-A-OR					Río Blanco	L6310859	P	-23.0941413	-64.3616223	2017-09-29	08:30:00	obsr786429	S39471035	Traveling	P22	EBIRD	360	20.000		26	0	G2659650	0	1	1			Se observó subir en círculos un individuo durante un tiempo prolongado, pudiéndose identificar por su gran tamaño, su cola larga y, en algunos momentos, mostraba su copete.	
URN:CornellLabOfOrnithology:EBIRD:OBS537004736	2021-08-05 16:16:02.673986	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			X					Argentina	AR	Salta	AR-A	Orán	AR-A-OR					Río Blanco	L6310859	P	-23.0941413	-64.3616223	2017-09-29	08:30:00	obsr521859	S39471032	Traveling	P22	EBIRD	360	20.000		26	0	G2659650	0	1	1		20º - Nublado.	Se observó subir en círculos un individuo durante un tiempo prolongado, pudiéndose identificar por su gran tamaño, su cola larga y, en algunos momentos, mostraba su copete.	
URN:CornellLabOfOrnithology:EBIRD:OBS388457860	2021-08-04 22:43:23.931048	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Reserva del Huaico	L3457277	H	-24.7324977	-65.5038786	2015-11-14	08:15:00	obsr34763	S28745939	Traveling	P22	EBIRD	180	0.805		12	1	G1664247	0	1	1		on WINGS tour.	flew over reserve. alleged to breed here.	
URN:CornellLabOfOrnithology:EBIRD:OBS386000178	2021-08-04 22:43:23.931048	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Reserva del Huaico	L3457277	H	-24.7324977	-65.5038786	2015-11-14	08:15:00	obsr359676	S28564735	Traveling	P22	EBIRD	180	0.805		12	1	G1664247	0	1	1			flew over reserve. alleged to breed here.	
URN:CornellLabOfOrnithology:EBIRD:OBS386000234	2018-09-27 18:38:44	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Hotel Selva Montana	L3538822	H	-24.7262195	-65.4981346	2015-11-14	07:15:00	obsr359676	S28564737	Stationary	P21	EBIRD	45			12	1	G1664248	0	1	1			flew over lodge. known location for this species that's alleged to breed nearby.	
URN:CornellLabOfOrnithology:EBIRD:OBS381060109	2021-08-04 22:43:23.931048	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Reserva del Huaico	L3457277	H	-24.7324977	-65.5038786	2015-11-14	08:15:00	obsr93553	S28141590	Traveling	P22	EBIRD	180	0.805		12	1	G1664247	0	1	1		on WINGS tour.	flew over reserve. alleged to breed here.	
URN:CornellLabOfOrnithology:EBIRD:OBS381056489	2018-09-27 18:38:44	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Hotel Selva Montana	L3538822	H	-24.7262195	-65.4981346	2015-11-14	07:15:00	obsr93553	S28141321	Stationary	P21	EBIRD	45			12	1	G1664248	0	1	1		on WINGS tour.	flew over lodge. known location for this species that's alleged to breed nearby.	
URN:CornellLabOfOrnithology:EBIRD:OBS388457920	2018-09-27 18:38:44	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Hotel Selva Montana	L3538822	H	-24.7262195	-65.4981346	2015-11-14	07:15:00	obsr34763	S28745945	Stationary	P21	EBIRD	45			12	1	G1664248	0	1	1		on WINGS tour.	flew over lodge. known location for this species that's alleged to breed nearby.	
URN:CornellLabOfOrnithology:EBIRD:OBS514187614	2018-09-27 18:39:40	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1	F 	C1	F 		Argentina	AR	Salta	AR-A	Capital	AR-A-SA					AR-Salta - -24,734x-65,512 - 26/6/2017 5:37 p. m.	L6022703	P	-24.7336107	-65.5124255	2017-06-25	11:50:00	obsr820430	S37817652	Traveling	P22	EBIRD_ARG	45	0.402		2	1		0	1	1		Águila Poma en vuelo sobre la ladera de la reserva del Huaico 	Vuelo bajo sobre la cima de la montaña 	
URN:CornellLabOfOrnithology:EBIRD:OBS532012259	2018-09-27 18:39:41	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Cerro Elefante	L6261884	P	-24.7281612	-65.5137277	2017-09-09	11:45:00	obsr820430	S39124490	Stationary	P21	EBIRD	30			6	1		1	1	1		Sunny day with strong winds	Flying near the top of the mountain	
URN:CornellLabOfOrnithology:EBIRD:OBS596219076	2021-08-04 22:42:56.160971	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			2					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Mirador de las Rapaces	L7178341	H	-24.7328894	-65.5096207	2018-04-05	09:00:00	obsr820430	S44296317	Traveling	P22	EBIRD	150	1.000		3	1		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS623734291	2019-04-05 11:29:36	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Cerro Elefante	L7468454	P	-24.7267034	-65.5198259	2018-05-25	11:30:00	obsr820430	S46030968	Traveling	P22	EBIRD	60	1.000		3	1		0	1	1			Individuo subadulto , volando bajo sobre la cima de la montaña.	
URN:CornellLabOfOrnithology:EBIRD:OBS616141389	2018-09-27 18:38:34	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1				Unknown Sex, Immature (1)	Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Reserva del Huaico	L3457277	H	-24.7324977	-65.5038786	2018-05-11	11:30:00	obsr820430	S45580853	Incidental	P20	EBIRD				2	0		0	1	1			Ejemplar subadulto todavia blanquecino, perseguido por dos Crested Caracara, sobre la ladera sur de la Reserva del Huaico.	
URN:CornellLabOfOrnithology:EBIRD:OBS667700965	2021-08-04 22:43:23.931048	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Reserva del Huaico	L3457277	H	-24.7324977	-65.5038786	2018-10-17	07:30:00	obsr93553	S49260667	Traveling	P22	EBIRD	282	2.012		8	1	G3525109	1	1	1			bird being tracked by scientists. known at this location. pictures.	
URN:CornellLabOfOrnithology:EBIRD:OBS667781819	2021-08-04 22:43:23.931048	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Reserva del Huaico	L3457277	H	-24.7324977	-65.5038786	2018-10-17	07:30:00	obsr798183	S49266572	Traveling	P22	EBIRD	282	2.012		8	1	G3525109	1	1	1			bird being tracked by scientists. known at this location. pictures.	
URN:CornellLabOfOrnithology:EBIRD:OBS668051396	2021-08-04 22:43:23.931048	7556	species	Black-and-chestnut Eagle	Spizaetus isidori			1					Argentina	AR	Salta	AR-A	Capital	AR-A-SA					Reserva del Huaico	L3457277	H	-24.7324977	-65.5038786	2018-10-17	07:30:00	obsr820430	S49286040	Traveling	P22	EBIRD	282	2.012		8	1	G3525109	1	1	1			bird being tracked by scientists. known at this location. pictures.	
