GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS258303823	2018-10-22 06:50:18	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2014-04-14	05:30:00	obsr341202	S17905888	Incidental	P20	EBIRD				4	1		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS251006594	2019-08-08 09:27:35	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2014-05-01	05:30:00	obsr341202	S18244662	Incidental	P20	EBIRD				8	1		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS361210053	2021-03-31 19:55:48.550479	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							RNA Titi Cabeciblanco, Cottontop Tamarin Reserve	L4097291	P	7.2638820	-76.4420908	2015-01-02	06:00:00	obsr354845	S26464709	Traveling	P22	EBIRD	240	3.000		3	1		0	1	0			hear	
URN:CornellLabOfOrnithology:EBIRD:OBS602048914	2021-03-13 12:49:45.337676	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr923646	S44719665	Historical	P62	EBIRD				10	1	G2944436	0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS577886850	2021-03-13 12:49:45.337676	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr434167	S42805896	Historical	P62	EBIRD				10	1	G2944436	0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS602048719	2021-03-13 12:49:45.337676	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr923646	S44719660	Historical	P62	EBIRD				10	1	G2944436	0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS595630244	2021-03-13 12:49:45.337676	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr910401	S44252252	Historical	P62	EBIRD				10	1	G2944436	0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS577978864	2021-03-13 12:49:45.337676	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr396391	S42826757	Historical	P62	EBIRD				10	1	G2944436	0	1	1		Birding trip to La Bonga Reserve in Bedó, Mutatá, Antioquia with friends.--Photos available at: https://www.flickr.com/photos/colombia_birding_diego/albums/72157644846388457		
URN:CornellLabOfOrnithology:EBIRD:OBS425269327	2021-03-13 12:49:45.337676	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr162605	S31236151	Historical	P62	EBIRD				10	1	G2944436	0	1	1		Birding trip to La Bonga Reserve in Bedó, Mutatá, Antioquia with friends.--Photos available at: https://www.flickr.com/photos/colombia_birding_diego/albums/72157644846388457		
URN:CornellLabOfOrnithology:EBIRD:OBS760460270	2019-08-10 18:38:52	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							La Bonga ABI07	L9280504	P	7.1922800	-76.3819800	2016-05-02	08:40:00	obsr635048	S56375932	Traveling	P22	EBIRD	10	0.100		1	1		0	1	1				
