GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS954877089	2021-03-06 09:40:08.365733	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							PNN Las Orquídeas--Sector Venados Abajo	L6757410	H	6.5289124	-76.3253796	1999-08-10	06:00:00	obsr1704441	S71362923	Traveling	P22	EBIRD	660	12.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS115227099	2018-08-16 11:16:26	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							Mutata Finca	L1140087	P	7.2430232	-76.4242458	2011-02-18	06:15:00	obsr108813	S8046248	Traveling	P22	EBIRD	480	5.000		3	1		0	1	0			L: seen well in a mixed flock. One of my biggest targets in this area!!!	
URN:CornellLabOfOrnithology:EBIRD:OBS569947396	2019-12-04 09:56:11	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							PNN Las Orquídeas--Sector Venados Abajo	L6757410	H	6.5289124	-76.3253796	2011-10-15	05:55:00	obsr497369	S42137569	Stationary	P21	EBIRD	240			2	1		0	1	0		Jornada de Redes de niebla en el sector de la Cabaña		
URN:CornellLabOfOrnithology:EBIRD:OBS258303821	2018-10-22 06:50:18	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2014-04-14	05:30:00	obsr341202	S17905888	Incidental	P20	EBIRD				4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS258298958	2019-08-08 09:27:35	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2014-05-01	05:30:00	obsr341202	S18244662	Incidental	P20	EBIRD				8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS404427517	2018-05-14 12:07:31	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2014-07-13	07:00:00	obsr724180	S29746077	Traveling	P22	EBIRD	240	3.000		2	1	G2251134	0	1	0		Con  Carlos Mauricio Mazo.		
URN:CornellLabOfOrnithology:EBIRD:OBS472157371	2018-05-14 12:07:31	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2014-07-13	07:00:00	obsr772199	S34930502	Traveling	P22	EBIRD	240	3.000		2	1	G2251134	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS403203055	2016-10-04 15:58:53	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2014-10-20	14:30:00	obsr724180	S29677093	Traveling	P22	EBIRD	180	2.000		2	1		0	1	0		Con Willian Bran.		
URN:CornellLabOfOrnithology:EBIRD:OBS405924886	2017-12-28 16:53:22	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2014-11-24	06:00:00	obsr724180	S29832950	Traveling	P22	EBIRD	480	4.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS405942483	2018-05-14 12:20:15	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2014-11-26	06:00:00	obsr724180	S29834013	Traveling	P22	EBIRD	240	3.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS361210086	2021-03-31 19:55:48.550479	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							RNA Titi Cabeciblanco, Cottontop Tamarin Reserve	L4097291	P	7.2638820	-76.4420908	2015-01-02	06:00:00	obsr354845	S26464709	Traveling	P22	EBIRD	240	3.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS385205443	2018-08-16 11:16:35	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2015-04-13		obsr724180	S28505403	Historical	P62	EBIRD					1		0	1	0			observada en dosel de bosque	
URN:CornellLabOfOrnithology:EBIRD:OBS760459844	2019-05-16 19:18:26	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							La Bonga ABI02	L9280500	P	7.1960900	-76.3904200	2016-04-30	16:06:00	obsr635048	S56375862	Traveling	P22	EBIRD	10	0.100		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS578066066	2021-03-13 12:49:45.337676	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr917733	S42833196	Historical	P62	EBIRD				10	1	G2944436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS602049078	2021-03-13 12:49:45.337676	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr923646	S44719665	Historical	P62	EBIRD				10	1	G2944436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS577978994	2021-03-13 12:49:45.337676	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr396391	S42826757	Historical	P62	EBIRD				10	1	G2944436	0	1	0		Birding trip to La Bonga Reserve in Bedó, Mutatá, Antioquia with friends.--Photos available at: https://www.flickr.com/photos/colombia_birding_diego/albums/72157644846388457		
URN:CornellLabOfOrnithology:EBIRD:OBS760460211	2019-05-16 19:18:33	33778	species	Blue-whiskered Tanager	Tangara johannae			2					Colombia	CO	Antioquia	CO-ANT							La Bonga ABI02	L9280500	P	7.1960900	-76.3904200	2016-05-01	16:28:00	obsr635048	S56375921	Traveling	P22	EBIRD	10	0.100		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1108481887	2021-03-31 21:36:56.64103	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr822085	S84511311	Historical	P62	EBIRD				10	1	G2944436	0	1	0		Birding trip to La Bonga Reserve in Bedó, Mutatá, Antioquia with friends.--Photos available at: https://www.flickr.com/photos/colombia_birding_diego/albums/72157644846388457		
URN:CornellLabOfOrnithology:EBIRD:OBS760460149	2019-05-16 19:18:33	33778	species	Blue-whiskered Tanager	Tangara johannae			2					Colombia	CO	Antioquia	CO-ANT							La Bonga ABI12	L9280536	P	7.1852900	-76.3742400	2016-05-01	13:51:00	obsr635048	S56375911	Traveling	P22	EBIRD	10	0.100		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS577887007	2021-03-13 12:49:45.337676	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr434167	S42805896	Historical	P62	EBIRD				10	1	G2944436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS425269457	2021-03-13 12:49:45.337676	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr162605	S31236151	Historical	P62	EBIRD				10	1	G2944436	0	1	0		Birding trip to La Bonga Reserve in Bedó, Mutatá, Antioquia with friends.--Photos available at: https://www.flickr.com/photos/colombia_birding_diego/albums/72157644846388457		
URN:CornellLabOfOrnithology:EBIRD:OBS595630391	2021-03-13 12:49:45.337676	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr910401	S44252252	Historical	P62	EBIRD				10	1	G2944436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS602049079	2021-03-13 12:49:45.337676	33778	species	Blue-whiskered Tanager	Tangara johannae			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr923646	S44719660	Historical	P62	EBIRD				10	1	G2944436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS569240150	2018-08-16 11:19:46	33778	species	Blue-whiskered Tanager	Tangara johannae			2					Colombia	CO	Antioquia	CO-ANT							PNN Las Orquídeas--Tambos	L6748396	H	6.5247222	-76.3305556	2016-08-29	06:00:00	obsr497369	S42081283	Traveling	P22	EBIRD	240	2.000		2	1		0	1	0		Muestreos de Tesis de Maestría con el apoyo del Parque Nacional Natural Las Orquídeas, AOU International Committee funds for benchmark surveys of Neotropical bird communities-The American Ornithological Society y Universidad Nacional de Colombia.		
URN:CornellLabOfOrnithology:EBIRD:OBS569236656	2018-08-16 11:19:46	33778	species	Blue-whiskered Tanager	Tangara johannae			2					Colombia	CO	Antioquia	CO-ANT							PNN Las Orquídeas--El Retiro	L6748275	H	6.5386111	-76.3361111	2016-08-28	06:15:00	obsr497369	S42081045	Traveling	P22	EBIRD	220	1.500		2	1		0	1	0		Muestreos de Tesis de Maestría con el apoyo del Parque Nacional Natural Las Orquídeas, AOU International Committee funds for benchmark surveys of Neotropical bird communities-The American Ornithological Society y Universidad Nacional de Colombia.		
URN:CornellLabOfOrnithology:EBIRD:OBS521005763	2017-08-15 09:42:33	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-10-23	15:40:00	obsr162659	S38312676	Traveling	P22	EBIRD	15	0.200		1	1		0	1	0		Terminado por lluvia		
URN:CornellLabOfOrnithology:EBIRD:OBS441777270	2017-01-03 17:16:44	33778	species	Blue-whiskered Tanager	Tangara johannae			2					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-10-22	11:50:00	obsr162659	S32465897	Traveling	P22	EBIRD	110	0.250		1	1		0	1	0				
