GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1105616124	2021-03-28 13:12:43.616042	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	Antioquia	CO-ANT							Jardín Hidrobotánico Caucasia	L11065468	P	7.9895432	-75.2022874	2014-12-19	14:48:00	obsr1053219	S66496435	Traveling	P22	EBIRD	60	0.200		1	1		0	1	0			Un individuo forrajeando en el estrato medio de los arboles que están cerca al borde del cuerpo de agua	
URN:CornellLabOfOrnithology:EBIRD:OBS700592570	2019-01-20 10:44:26	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	Antioquia	CO-ANT							Pellejo, Antioquia, CO (8,059, -74,888)	L8458972	P	8.0585008	-74.8876007	2019-01-19	14:03:00	obsr954691	S51839946	Traveling	P22	EBIRD	193	9.530		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS767172081	2019-05-27 15:04:26	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	Antioquia	CO-ANT							T244,  (8.221, -76.534)	L9355811	P	8.2214802	-76.5339626	2019-05-27	07:54:00	obsr928079	S56804044	Traveling	P22	EBIRD	365	23.630		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS753651515	2020-05-14 10:01:16	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	Antioquia	CO-ANT							Reserva Costa Rica	L9203785	H	6.0529778	-74.6643813	2019-05-04	05:00:00	obsr1094194	S55903683	Traveling	P22	EBIRD	960	20.000		11	0	G4136933	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS754175572	2020-05-14 10:01:16	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	Antioquia	CO-ANT							Reserva Costa Rica	L9203785	H	6.0529778	-74.6643813	2019-05-04	05:00:00	obsr1094281	S55988537	Traveling	P22	EBIRD	960	20.000		11	0	G4136933	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS753820876	2020-05-14 10:01:16	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	Antioquia	CO-ANT							Reserva Costa Rica	L9203785	H	6.0529778	-74.6643813	2019-05-04	05:00:00	obsr1096692	S55967426	Traveling	P22	EBIRD	960	20.000		11	0	G4136933	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS378593719	2016-03-03 16:39:13	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	Atlántico	CO-ATL							Reserva Luriza	L3637775	H	10.7466670	-75.0212780	2002-07-13		obsr636777	S27947168	Historical	P62	EBIRD		5.000		2	1		0	1	0		recorridos y estaciones de observación		
URN:CornellLabOfOrnithology:EBIRD:OBS223295958	2015-07-20 20:10:19	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	Atlántico	CO-ATL							Lago del Cisne	L2493021	P	11.0191750	-74.8950300	2004-01-26	15:36:00	obsr271418	S16136071	Traveling	P22	EBIRD	100	0.483		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS223295793	2015-07-20 20:10:19	10525	species	Chestnut Piculet	Picumnus cinnamomeus			3					Colombia	CO	Atlántico	CO-ATL							Lago del Cisne	L2493021	P	11.0191750	-74.8950300	2004-05-22	15:30:00	obsr271418	S16136065	Traveling	P22	EBIRD	150	0.483		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS949278923	2020-06-28 14:13:41	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	Atlántico	CO-ATL							Cerro La Vieja	L5842394	H	10.7346154	-75.1054358	2005-02-13	06:30:00	obsr271418	S70918806	Traveling	P22	EBIRD	90	1.609		2	1		0	1	0				
