GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS944769927	2021-04-24 19:37:12.794435	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							PNN Ensenada de Utría--Bahia	L3220935	H	6.0527345	-77.3609376	1994-12-04	06:00:00	obsr1704441	S70577883	Traveling	P22	EBIRD	630	30.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS925465705	2021-04-24 19:38:06.539367	110	species	Choco Tinamou	Crypturellus kerriae			X					Colombia	CO	Chocó	CO-CHO							PNN Los Katíos--Cabaña de Sautatá	L5838176	H	7.8443056	-77.1354444	1995-01-18	05:35:00	obsr1704441	S69242541	Traveling	P22	EBIRD	735	11.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS695645843	2019-09-13 14:25:13	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							Bahía Solano	L8390192	P	6.2244656	-77.4064672	2009-05-31	05:30:00	obsr884204	S51447644	Traveling	P22	EBIRD	720	12.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS679409193	2018-11-23 14:11:43	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							Joví, Nuquí, Choco	L8175240	P	5.6154263	-77.3824914	2009-06-05	06:00:00	obsr884204	S50155743	Traveling	P22	EBIRD	300	4.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS679417560	2019-09-13 10:53:58	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							Joví, Nuquí, Choco	L8175240	P	5.6154263	-77.3824914	2009-06-07	06:00:00	obsr884204	S50156396	Traveling	P22	EBIRD	300	4.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS281426770	2020-07-19 09:40:57	110	species	Choco Tinamou	Crypturellus kerriae			X					Colombia	CO	Chocó	CO-CHO							Desembocadura de El Valle	L2609707	H	6.1020000	-77.4298700	2010-02-22		obsr545158	S20592339	Historical	P62	EBIRD					1		0	1	0			Tundo trail	
URN:CornellLabOfOrnithology:EBIRD:OBS192829560	2018-08-16 14:38:30	110	species	Choco Tinamou	Crypturellus kerriae			X					Colombia	CO	Chocó	CO-CHO							Bahia Solano area	L2138330	P	6.1815156	-77.3705292	2010-03-07	05:00:00	obsr230544	S13893652	Incidental	P20	EBIRD				3	1	G602944	0	1	0			heard on three occasions	
URN:CornellLabOfOrnithology:EBIRD:OBS192849356	2018-08-16 14:38:30	110	species	Choco Tinamou	Crypturellus kerriae			X					Colombia	CO	Chocó	CO-CHO							Bahia Solano area	L2138330	P	6.1815156	-77.3705292	2010-03-07	05:00:00	obsr238508	S13895030	Incidental	P20	EBIRD				3	1	G602944	0	1	0			heard on three occasions	
URN:CornellLabOfOrnithology:EBIRD:OBS281430340	2020-06-22 08:24:52	110	species	Choco Tinamou	Crypturellus kerriae			X					Colombia	CO	Chocó	CO-CHO							Desembocadura de El Valle	L2609707	H	6.1020000	-77.4298700	2012-03-10		obsr545158	S20592475	Historical	P62	EBIRD					1		0	1	0			Utria trail	
URN:CornellLabOfOrnithology:EBIRD:OBS548081883	2017-11-09 14:58:21	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							Ecolodge El Almejal--Lodge and Trails	L2235138	H	6.1128604	-77.4352112	2012-11-22	08:15:00	obsr973533	S40396416	Traveling	P22	EBIRD	450	6.437		2	1	G2724567	0	1	0		Walked the road from El Valle towards Bahia Solano	Heard only	
URN:CornellLabOfOrnithology:EBIRD:OBS419402000	2017-11-09 14:58:21	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							Ecolodge El Almejal--Lodge and Trails	L2235138	H	6.1128604	-77.4352112	2012-11-22	08:15:00	obsr527452	S30797865	Traveling	P22	EBIRD	450	6.437		2	1	G2724567	0	1	0		Walked the road from El Valle towards Bahia Solano	Heard only	
URN:CornellLabOfOrnithology:EBIRD:OBS228212503	2021-03-31 20:04:35.320573	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							Camino El Valle	L2309631	H	6.1393600	-77.4034023	2014-01-27	05:54:00	obsr37417	S16717673	Traveling	P22	EBIRD	755	7.435		4	1	G799058	0	1	0			Heard, but seen by guide. I saw brief movement.	
URN:CornellLabOfOrnithology:EBIRD:OBS233726467	2021-03-31 20:04:35.320573	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							Camino El Valle	L2309631	H	6.1393600	-77.4034023	2014-01-27	05:54:00	obsr212715	S16899721	Traveling	P22	EBIRD	755	7.435		4	1	G799058	0	1	0		Walked from El Valle out on road towards Bahia Solano. We turned back at about 2pm after hearing Choco Tinamou. The waypoint for the tinamou is about 150m short of the "trail" on the left side. <br />Submitted from BirdLog SA for iOS, version 1.7.1	Heard, but seen by Balmes--<iframe src="https://www.xeno-canto.org/167070/embed?simple&#61;1" scrolling="no" frameborder="0" width="340" height="115"></iframe>	
URN:CornellLabOfOrnithology:EBIRD:OBS233690786	2021-03-31 20:04:35.320573	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							Camino El Valle	L2309631	H	6.1393600	-77.4034023	2014-01-27	05:54:00	obsr216208	S16896923	Traveling	P22	EBIRD	755	7.435		4	1	G799058	0	1	0			Heard, but seen by guide. I saw brief movement.	
URN:CornellLabOfOrnithology:EBIRD:OBS238266919	2015-07-28 15:34:45	110	species	Choco Tinamou	Crypturellus kerriae			X					Colombia	CO	Chocó	CO-CHO							PNN Ensenada de Utría--Sede y Sendas	L2235156	H	6.0186900	-77.3485700	2014-02-22	16:00:00	obsr206617	S17316157	Incidental	P20	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS866847248	2020-05-01 16:27:50	110	species	Choco Tinamou	Crypturellus kerriae			X					Colombia	CO	Chocó	CO-CHO							Utria NP (El Valle - Bahia Solano road)	L10802820	P	6.1452550	-77.4018190	2014-03-05		obsr578946	S64709052	Historical	P62	EBIRD					1		0	1	0			1 heard	
URN:CornellLabOfOrnithology:EBIRD:OBS285658717	2019-02-19 00:14:12	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							PNN Ensenada de Utría--Bahia	L3220935	H	6.0527345	-77.3609376	2014-07-15	06:00:00	obsr354845	S20920642	Traveling	P22	EBIRD	360	5.000		2	1		0	1	0			escuchado	
URN:CornellLabOfOrnithology:EBIRD:OBS791802210	2019-09-13 10:50:30	110	species	Choco Tinamou	Crypturellus kerriae			2					Colombia	CO	Chocó	CO-CHO							RN El Amargal	L3867608	H	5.5931359	-77.4963355	2015-01-25	06:00:00	obsr275427	S58741379	Traveling	P22	EBIRD	195	4.828		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS372093152	2018-08-16 08:42:58	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							PNN Ensenada de Utría--Sede y Sendas	L2235156	H	6.0186900	-77.3485700	2016-01-07	06:45:00	obsr693372	S27397347	Traveling	P22	EBIRD	660	8.047		4	1		0	1	0		Traveled by boat from El Valle to the Utria National Park headquarters. Birded along the local trails.	heard only	
URN:CornellLabOfOrnithology:EBIRD:OBS433666407	2016-10-02 17:25:29	110	species	Choco Tinamou	Crypturellus kerriae			X					Colombia	CO	Chocó	CO-CHO							CO - 6.023x-77.348 - oct. 2, 2016 4:20 PM	L4963599	P	6.0226340	-77.3480586	2016-09-30	06:20:00	obsr354845	S31859557	Traveling	P22	EBIRD	150	2.000		2	1		0	1	0		<br>Enviado desde eBird Android 1.3		
URN:CornellLabOfOrnithology:EBIRD:OBS433658274	2017-04-15 21:18:46	110	species	Choco Tinamou	Crypturellus kerriae			X					Colombia	CO	Chocó	CO-CHO							Camino El Valle	L2309631	H	6.1393600	-77.4034023	2016-10-01	20:03:00	obsr354845	S31859057	Traveling	P22	EBIRD	180	2.000		2	1		0	1	0		<br>Enviado desde eBird Android 1.3	Hear	
URN:CornellLabOfOrnithology:EBIRD:OBS448351924	2021-04-05 08:37:08.268744	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							Area de El Valle	L2330753	H	6.1091894	-77.4237442	2016-12-08	06:40:00	obsr142759	S32957006	Traveling	P22	EBIRD	348	2.736		9	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS484876117	2019-09-13 09:02:09	110	species	Choco Tinamou	Crypturellus kerriae			1					Colombia	CO	Chocó	CO-CHO							Camino El Valle	L2309631	H	6.1393600	-77.4034023	2017-03-30	05:45:00	obsr239797	S35904282	Traveling	P22	EBIRD	360	5.000		2	1	G2337678	0	1	0		Kms 7 to 12 from El Valle to Bahia Solano; best forest on road		
