GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS284294472	2021-05-31 20:00:48.343853	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							Parque Nacional de Anavilhanas	L2855419	H	-2.2022164	-60.8773041	1996-11-18	07:00:00	obsr235781	S20814785	Traveling	P22	EBIRD	300	5.000		7	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS460631578	2020-05-28 16:44:12	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2004-06-10		obsr248022	S33956187	Historical	P62	EBIRD				7	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS527105741	2020-09-03 10:06:22	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2009-07-20	06:00:00	obsr325381	S38772989	Historical	P62	EBIRD	360			15	1		0	1	0		We birded by canoe in the morning, then traveled to the town of Novo Airao, for lunch, a tour of the boat-building and the town generally.  Mammals seen were Pink River Dolphin and Little Mastiff Bat.		
URN:CornellLabOfOrnithology:EBIRD:OBS516830314	2021-05-31 20:03:59.371247	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2009-07-15	06:00:00	obsr325381	S38010248	Historical	P62	EBIRD	480			12	1		0	1	0		Out at dawn in canoes; also late afternoon until dark, then again after dinner.  Mammals seen: Proboscis Bat, Lesser Fishing Bat, Amazon Bamboo Rat, Pale-throated 3-toed sloth.  Reptiles seen: Black caiman, Green Iguana, Gladiator Treefrog, Giant Broad-headed Treefrog.		
URN:CornellLabOfOrnithology:EBIRD:OBS127041404	2016-08-11 09:15:50	838	species	Crestless Curassow	Mitu tomentosum			1					Brazil	BR	Amazonas	BR-AM							Amazonas: Anavilhanas Archipelago: Lago Urua river islands	L1282229	P	-2.7939741	-60.6654739	2011-09-17		obsr17450	S8875878	Incidental	P20	EBIRD				1	1		0	1	0			1 seen flying across river from motorized canoe; heard	
URN:CornellLabOfOrnithology:EBIRD:OBS592196183	2018-12-19 13:12:27	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2013-07-24		obsr1734	S43992052	Historical	P62	EBIRD				5	0		0	1	0		Anavilhanas Islands		
URN:CornellLabOfOrnithology:EBIRD:OBS724680441	2019-03-15 14:57:37	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							site padauari - point-count pada1_5	L8854484	P	-0.1392667	-64.0883756	2014-09-23	08:25:00	obsr322912	S53860675	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS724678494	2019-03-15 14:57:11	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							site demeni1 - point-count deme1_2	L8854206	P	-0.4118412	-62.8988371	2014-09-26	06:08:00	obsr322912	S53860495	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS724679864	2020-05-29 21:36:24	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							site jaradi - point-count jara1_1	L8854384	P	-0.3755883	-65.2184966	2014-09-18	05:35:00	obsr322912	S53860618	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS454994919	2017-01-06 19:26:04	838	species	Crestless Curassow	Mitu tomentosum			1					Brazil	BR	Amazonas	BR-AM							Anavilhanas	L5229469	P	-2.5904742	-60.9274077	2015-01-02		obsr620877	S33492465	Historical	P62	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS334655047	2018-12-19 13:12:27	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2015-07-27		obsr124290	S24479104	Historical	P62	EBIRD				26	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS350463217	2016-01-06 11:32:46	838	species	Crestless Curassow	Mitu tomentosum			1					Brazil	BR	Amazonas	BR-AM							Rio Negro -- Anavilhanas Archipelago	L3979501	P	-2.6873800	-60.7224200	2015-09-20	07:00:00	obsr57052	S25617587	Traveling	P22	EBIRD	135	0.322		15	1		0	1	0			Heard-only	
URN:CornellLabOfOrnithology:EBIRD:OBS350461481	2016-08-11 09:15:50	838	species	Crestless Curassow	Mitu tomentosum			4					Brazil	BR	Amazonas	BR-AM							Rio Negro -- Anavilhanas Archipelago	L3979501	P	-2.6873800	-60.7224200	2015-09-20	04:50:00	obsr57052	S25617451	Traveling	P22	EBIRD	40	0.161		10	1		0	1	0		Also heard at least one Bamboo Rat giving a loud and very bird-like call	Heard-only, including birds that were already calling when I arrived atop the boat at 4:50 AM	
URN:CornellLabOfOrnithology:EBIRD:OBS343889751	2020-09-17 16:40:05	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							Jau River/Ranger's Station	L3923176	P	-1.9069259	-61.4540863	2015-09-12	04:30:00	obsr422887	S25141407	Traveling	P22	EBIRD	840	19.312		20	1		0	1	0			Heard only on pre-dawn canoe trip	
URN:CornellLabOfOrnithology:EBIRD:OBS343908842	2016-06-26 18:47:40	838	species	Crestless Curassow	Mitu tomentosum			X					Brazil	BR	Amazonas	BR-AM							Rio Negro NNW of Jau Ranger's Stn	L3923371	P	-1.3342376	-62.0961857	2015-09-15	05:00:00	obsr422887	S25142682	Traveling	P22	EBIRD	720	32.187		20	1		0	1	0			Heard only on pre-dawn canoe trip	
URN:CornellLabOfOrnithology:EBIRD:OBS360878741	2018-12-19 13:12:27	838	species	Crestless Curassow	Mitu tomentosum			1					Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2015-11-02	16:30:00	obsr126081	S26438334	Traveling	P22	EBIRD	120	4.828		12	0		0	1	0		Exploring on a small craft along waterways.		
