GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS954876992	2021-03-06 09:40:08.365733	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Colombia	CO	Antioquia	CO-ANT							PNN Las Orquídeas--Sector Venados Abajo	L6757410	H	6.5289124	-76.3253796	1999-08-10	06:00:00	obsr1704441	S71362923	Traveling	P22	EBIRD	660	12.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS115227059	2018-08-16 11:16:26	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Colombia	CO	Antioquia	CO-ANT							Mutata Finca	L1140087	P	7.2430232	-76.4242458	2011-02-18	06:15:00	obsr108813	S8046248	Traveling	P22	EBIRD	480	5.000		3	1		0	1	0			H	
URN:CornellLabOfOrnithology:EBIRD:OBS258299032	2019-08-08 09:27:35	1945	species	Dusky Pigeon	Patagioenas goodsoni			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2014-05-01	05:30:00	obsr341202	S18244662	Incidental	P20	EBIRD				8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS361210933	2015-12-26 20:14:50	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Colombia	CO	Antioquia	CO-ANT							RNA Titi Cabeciblanco, Cottontop Tamarin Reserve	L4097291	P	7.2638820	-76.4420908	2015-01-02	15:00:00	obsr354845	S26464778	Traveling	P22	EBIRD	90	2.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS318367132	2019-08-09 21:59:19	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Colombia	CO	Antioquia	CO-ANT							Bedó-Muatá-Antioquia	L3632617	P	7.1909962	-76.3969088	2015-05-09	08:30:00	obsr540514	S23370845	Traveling	P22	EBIRD	480	4.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS333630671	2016-10-04 15:44:14	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Colombia	CO	Antioquia	CO-ANT							Bedo	L3816115	P	7.1638900	-76.4089200	2015-07-19	07:45:00	obsr200421	S24403277	Traveling	P22	EBIRD	155	0.563		4	1	G1358903	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS333633001	2016-10-04 15:44:14	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Colombia	CO	Antioquia	CO-ANT							Bedo	L3816115	P	7.1638900	-76.4089200	2015-07-19	07:45:00	obsr325989	S24403376	Traveling	P22	EBIRD	155	0.563		4	1	G1358903	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS602048932	2021-03-13 12:49:45.337676	1945	species	Dusky Pigeon	Patagioenas goodsoni			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr923646	S44719665	Historical	P62	EBIRD				10	1	G2944436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1108481174	2021-03-31 21:36:56.64103	1945	species	Dusky Pigeon	Patagioenas goodsoni			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr822085	S84511311	Historical	P62	EBIRD				10	1	G2944436	0	1	0		Birding trip to La Bonga Reserve in Bedó, Mutatá, Antioquia with friends.--Photos available at: https://www.flickr.com/photos/colombia_birding_diego/albums/72157644846388457		
URN:CornellLabOfOrnithology:EBIRD:OBS577886891	2021-03-13 12:49:45.337676	1945	species	Dusky Pigeon	Patagioenas goodsoni			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr434167	S42805896	Historical	P62	EBIRD				10	1	G2944436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS425269344	2021-03-13 12:49:45.337676	1945	species	Dusky Pigeon	Patagioenas goodsoni			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr162605	S31236151	Historical	P62	EBIRD				10	1	G2944436	0	1	0		Birding trip to La Bonga Reserve in Bedó, Mutatá, Antioquia with friends.--Photos available at: https://www.flickr.com/photos/colombia_birding_diego/albums/72157644846388457		
URN:CornellLabOfOrnithology:EBIRD:OBS595630261	2021-03-13 12:49:45.337676	1945	species	Dusky Pigeon	Patagioenas goodsoni			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr910401	S44252252	Historical	P62	EBIRD				10	1	G2944436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS577978881	2021-03-13 12:49:45.337676	1945	species	Dusky Pigeon	Patagioenas goodsoni			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr396391	S42826757	Historical	P62	EBIRD				10	1	G2944436	0	1	0		Birding trip to La Bonga Reserve in Bedó, Mutatá, Antioquia with friends.--Photos available at: https://www.flickr.com/photos/colombia_birding_diego/albums/72157644846388457		
URN:CornellLabOfOrnithology:EBIRD:OBS578065953	2021-03-13 12:49:45.337676	1945	species	Dusky Pigeon	Patagioenas goodsoni			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr917733	S42833196	Historical	P62	EBIRD				10	1	G2944436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS602048761	2021-03-13 12:49:45.337676	1945	species	Dusky Pigeon	Patagioenas goodsoni			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2016-05-31		obsr923646	S44719660	Historical	P62	EBIRD				10	1	G2944436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS578006538	2019-04-12 12:51:21	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2017-05-26	06:27:00	obsr396391	S42828847	Traveling	P22	EBIRD	360	5.600		2	1	G2461035	1	1	0		Desde la carretera hasta casa de la finca La Bonga. Entre 260 - 580 msnm. Potreros, rastrojos y bosque.		
